T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
nan,nan,nan,nan,nan,nan,nan,nan,47.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,48.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,37.125
22.8,28,20.4,-,84,6.9,5.2,9.4,23.875
23.1,29.3,20,-,81,5.8,5,7.6,22.33333333333333
24.1,29.5,20,-,74,9.2,4.4,5.4,25.08333333333333
nan,nan,nan,nan,nan,nan,nan,nan,32.958333333333336
nan,nan,nan,nan,nan,nan,nan,nan,31.5
nan,nan,nan,nan,nan,nan,nan,nan,56.375
24.1,28.8,20.2,-,83,6.9,2.2,7.6,66.79166666666667
24.7,30.8,20.7,-,80,6.9,0.9,3.5,64.875
25.4,30.8,20.4,-,78,6.9,0.9,3.5,47.58333333333334
nan,nan,nan,nan,nan,nan,nan,nan,48.29166666666666
nan,nan,nan,nan,nan,nan,nan,nan,51.375
nan,nan,nan,nan,nan,nan,nan,nan,43.375
23.7,29.6,20.5,-,79,6.9,6.7,9.4,33.5
23.2,28,20.2,-,75,6.9,8,9.4,43.04166666666666
21.8,28,20.1,-,85,5.5,7.2,9.4,38.41666666666666
nan,nan,nan,nan,nan,nan,nan,nan,29.16666666666667
nan,nan,nan,nan,nan,nan,nan,nan,37.375
nan,nan,nan,nan,nan,nan,nan,nan,60.0
22.6,27.4,19.8,-,79,6.9,7.8,9.4,49.29166666666666
22.7,27.4,20.4,-,80,6.9,7.2,9.4,19.541666666666668
22.5,27.2,20,-,84,6.9,5.6,9.4,22.83333333333333
23.1,26.8,19.7,-,79,7.7,6.7,9.4,24.29166666666667
nan,nan,nan,nan,nan,nan,nan,nan,25.29166666666667
nan,nan,nan,nan,nan,nan,nan,nan,23.41666666666667
nan,nan,nan,nan,nan,nan,nan,nan,47.04166666666666
23.3,28.7,20.3,-,77,6.9,6.3,9.4,74.66666666666667
23.2,28.9,19.8,-,71,6.3,9.1,11.1,41.875
24,29.9,19.1,-,69,6.9,7.8,11.1,50.58333333333334
nan,nan,nan,nan,nan,nan,nan,nan,44.41666666666666
nan,nan,nan,nan,nan,nan,nan,nan,66.45833333333333
nan,nan,nan,nan,nan,nan,nan,nan,62.91666666666666
24.3,30.3,20.5,-,67,8.5,5.2,7.6,58.125
23.4,29.9,20.6,-,74,6.9,5,9.4,57.29166666666666
23.9,29.4,21,-,73,6.3,7,14.8,38.25
nan,nan,nan,nan,nan,nan,nan,nan,57.20833333333334
nan,nan,nan,nan,nan,nan,nan,nan,50.33333333333334
nan,nan,nan,nan,nan,nan,nan,nan,50.41666666666666
23.4,27.8,20.6,-,79,6.9,5.9,9.4,47.41666666666666
23.7,27.8,20.1,-,74,7.4,5.9,7.6,56.91666666666666
24.2,28.3,20,-,72,6.6,2.8,5.4,54.625
nan,nan,nan,nan,nan,nan,nan,nan,42.875
nan,nan,nan,nan,nan,nan,nan,nan,41.208333333333336
nan,nan,nan,nan,nan,nan,nan,nan,42.375
23.9,31.1,20.1,-,78,6.9,1.3,3.5,45.95833333333334
24.2,31.1,19.9,-,81,6.9,1.9,5.4,52.25
